Address,Occupied,Vacant,Owned_Loan,Owned_Clear,Renter_Occupied,TotalVacant_HUnits,ForRent,Rented_NotOccupied,ForSale,Sold_NotOccupied,Occasional_Use,MigrantWorkers,OtherVacant,H_White,H_AfricanAmerican,H_AmerIndian_Alaska,H_Asian,H_Hawaiian_Pacific,H_OtherRace,H_TwoOrMore_Races,Pop_Occ_HUnits,H_1P,H_2P,H_3P,H_4P,H_5P,H_6P,H_7MP,Owner_Occupied,Owner_Child_U18,Owner_NoChild_U18,Renter_Occupied,Renter_Child_U18,Renter_NoChild_U18,VacancyStatus_A,VacancyStatus_NA
"100 block fordham rd, Syracuse, NY",49,2,31,13,5,2,0,0,1,0,0,0,1,45,2,0,0,0,1,1,121,13,17,8,7,2,2,0,44,13,31,5,2,3,0,2
"100 block frisbie ct, Syracuse, NY",81,1,0,0,81,1,1,0,0,0,0,0,0,28,42,0,6,0,4,1,203,24,22,16,10,8,0,1,0,0,0,81,22,59,0,1
"100 block furman st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block geddes st n, Syracuse, NY",23,1,14,8,1,1,0,0,0,0,0,0,1,8,15,0,0,0,0,0,53,8,5,6,3,1,0,0,22,5,17,1,1,0,0,1
"100 block genesee park dr, Syracuse, NY",216,10,22,3,191,10,8,0,0,0,1,0,1,37,138,5,0,1,28,7,474,86,60,35,22,7,2,4,25,12,13,191,85,106,1,9
"100 block genesee pkwy e, Syracuse, NY",13,2,10,0,3,2,0,0,1,0,0,0,1,2,11,0,0,0,0,0,25,5,6,1,0,1,0,0,10,1,9,3,1,2,0,2
"100 block genesee st e, Syracuse, NY",13,1,7,1,5,1,0,0,0,0,0,0,1,6,6,0,0,0,0,1,35,3,4,2,2,2,0,0,8,2,6,5,5,0,1,0
"100 block gertrude st, Syracuse, NY",49,2,6,1,42,2,0,1,0,0,1,0,0,32,13,1,0,0,1,2,80,32,12,0,2,2,1,0,7,1,6,42,5,37,0,2
"100 block gifford pkwy, Syracuse, NY",45,2,26,13,6,2,1,0,0,0,1,0,0,31,11,0,2,0,0,1,102,12,19,7,5,1,1,0,39,9,30,6,3,3,0,2
"100 block gifford st, Syracuse, NY",5,0,1,0,4,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,7,3,2,0,0,0,0,0,1,0,1,4,0,4,0,0
"100 block glahn av, Syracuse, NY",39,6,2,1,36,6,3,0,0,0,0,0,3,8,29,0,0,0,1,1,128,2,8,12,12,4,1,0,3,1,2,36,23,13,0,6
"100 block glen av w, Syracuse, NY",61,0,39,20,2,0,0,0,0,0,0,0,0,49,9,2,0,0,1,0,129,25,21,9,2,1,1,2,59,7,52,2,0,2,0,0
"100 block goodrich av, Syracuse, NY",5,0,3,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,9,1,4,0,0,0,0,0,4,0,4,1,0,1,0,0
"100 block gordon av, Syracuse, NY",3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,1,2,0,0,0,0,3,1,2,0,0,0,0,0
"100 block gorland av, Syracuse, NY",17,0,10,4,3,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,39,4,7,3,3,0,0,0,14,3,11,3,1,2,0,0
"100 block grand av, Syracuse, NY",111,33,14,10,87,33,10,0,0,0,0,0,23,50,34,6,1,0,15,5,304,33,27,16,19,7,6,3,24,5,19,87,40,47,0,33
"100 block granger st, Syracuse, NY",23,1,0,0,23,1,1,0,0,0,0,0,0,17,3,0,3,0,0,0,26,20,3,0,0,0,0,0,0,0,0,23,0,23,0,1
"100 block graves st, Syracuse, NY",98,32,2,3,93,32,12,0,0,0,0,0,20,40,38,0,9,0,2,9,237,46,12,17,7,11,2,3,5,0,5,93,36,57,3,29
"100 block green st, Syracuse, NY",120,49,0,0,120,49,20,0,0,0,0,0,29,74,33,1,5,0,2,5,180,91,16,5,3,2,1,2,0,0,0,120,14,106,0,49
"100 block griffin st, Syracuse, NY",7,2,1,2,4,2,0,0,0,0,0,0,2,1,5,1,0,0,0,0,25,1,2,1,1,1,0,1,3,1,2,4,3,1,0,2
"100 block griffiths st, Syracuse, NY",39,4,17,4,18,4,1,0,0,0,0,0,3,18,11,0,8,0,1,1,147,4,10,7,6,3,2,7,21,11,10,18,12,6,0,4
"100 block grove st, Syracuse, NY",39,3,23,5,11,3,0,0,1,0,0,0,2,21,17,0,0,0,1,0,98,11,13,9,2,0,2,2,28,8,20,11,6,5,0,3
"100 block harbor st, Syracuse, NY",37,4,14,7,16,4,1,0,0,0,0,0,3,34,2,0,0,0,0,1,99,13,10,3,7,0,1,3,21,4,17,16,9,7,0,4
"100 block harborside dr, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block harrison st, Syracuse, NY",3,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0
"100 block hartson st, Syracuse, NY",30,4,7,4,19,4,3,0,0,0,0,0,1,23,3,1,0,0,3,0,86,3,14,5,4,2,0,2,11,6,5,19,8,11,0,4
"100 block hatch st, Syracuse, NY",50,14,17,3,30,14,4,0,0,1,0,0,9,8,39,0,0,0,1,2,158,10,8,12,9,8,2,1,20,7,13,30,19,11,2,12
"100 block hatherly rd, Syracuse, NY",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"100 block hawley av, Syracuse, NY",23,2,2,1,20,2,2,0,0,0,0,0,0,15,3,0,0,0,3,2,42,13,6,0,3,1,0,0,3,1,2,20,4,16,0,2
"100 block headson dr, Syracuse, NY",24,2,18,5,1,2,0,0,0,0,1,0,1,14,9,0,1,0,0,0,46,11,6,5,2,0,0,0,23,6,17,1,0,1,0,2
"100 block helen st, Syracuse, NY",27,2,5,1,21,2,0,0,0,0,0,0,2,18,6,0,1,0,2,0,57,9,8,8,2,0,0,0,6,2,4,21,6,15,0,2
"100 block henry st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block herkimer st, Syracuse, NY",70,5,14,14,42,5,3,0,0,0,0,0,2,62,5,1,0,0,1,1,135,25,31,9,4,1,0,0,28,2,26,42,12,30,0,5
"100 block hillsdale av, Syracuse, NY",14,1,2,0,12,1,1,0,0,0,0,0,0,13,1,0,0,0,0,0,31,3,7,2,2,0,0,0,2,1,1,12,4,8,0,1
"100 block hixson av, Syracuse, NY",37,9,9,14,14,9,5,0,1,0,1,0,2,30,6,0,0,0,0,1,82,11,18,3,2,1,1,1,23,2,21,14,7,7,0,9
"100 block homecroft av, Syracuse, NY",13,6,0,0,13,6,6,0,0,0,0,0,0,8,4,1,0,0,0,0,25,5,4,4,0,0,0,0,0,0,0,13,7,6,0,6
"100 block hood av, Syracuse, NY",62,5,14,7,41,5,1,0,0,0,1,0,3,44,14,1,1,0,0,2,147,25,18,8,4,3,1,3,21,6,15,41,12,29,0,5
"100 block hope av, Syracuse, NY",16,3,8,2,6,3,2,0,1,0,0,0,0,2,14,0,0,0,0,0,56,3,3,3,1,4,1,1,10,4,6,6,5,1,0,3
"100 block houston av, Syracuse, NY",51,4,31,19,1,4,2,0,1,0,0,0,1,46,5,0,0,0,0,0,103,16,23,8,3,1,0,0,50,9,41,1,0,1,0,4
"100 block hudson av, Syracuse, NY",66,8,31,15,20,8,0,0,0,1,0,0,7,44,19,0,1,0,0,2,146,22,22,14,3,4,1,0,46,9,37,20,6,14,0,8
"100 block hudson st, Syracuse, NY",30,8,12,4,14,8,2,0,0,0,0,0,6,3,24,1,0,0,0,2,102,6,8,6,2,2,1,5,16,9,7,14,9,5,1,7
"100 block huntley st, Syracuse, NY",43,5,27,10,6,5,1,0,0,0,0,0,4,36,5,0,1,0,0,1,114,8,18,5,6,5,1,0,37,10,27,6,3,3,1,4
"100 block hurlburt rd, Syracuse, NY",27,0,20,7,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,1,65,4,15,3,3,2,0,0,27,7,20,0,0,0,0,0
"100 block huron st, Syracuse, NY",48,9,20,9,19,9,2,0,1,0,0,0,6,7,40,0,0,0,0,1,118,21,8,9,2,5,1,2,29,4,25,19,12,7,0,9
"100 block intrepid ln, Syracuse, NY",26,3,12,9,5,3,0,0,0,0,0,0,3,23,3,0,0,0,0,0,56,11,8,4,1,0,1,1,21,3,18,5,3,2,0,3
"100 block isabella st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block jamesville av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block janet dr, Syracuse, NY",22,1,9,4,9,1,0,0,0,0,0,0,1,20,0,1,1,0,0,0,51,6,8,6,1,0,0,1,13,5,8,9,1,8,0,1
"100 block jasper pl, Syracuse, NY",86,15,8,8,70,15,4,0,0,0,0,0,11,38,24,2,15,0,1,6,265,30,17,11,7,6,4,11,16,5,11,70,32,38,1,14
"100 block jasper st, Syracuse, NY",50,7,10,6,34,7,2,0,0,1,0,0,4,36,4,0,8,0,0,2,158,6,21,6,5,7,2,3,16,7,9,34,18,16,0,7
"100 block jefferson st e, Syracuse, NY",46,9,17,4,25,9,5,1,1,1,0,0,1,26,15,4,0,0,0,1,137,11,14,5,7,3,3,3,21,8,13,25,11,14,0,9
"100 block jefferson st w, Syracuse, NY",15,4,9,5,1,4,1,0,0,0,0,0,3,10,5,0,0,0,0,0,42,4,2,3,5,1,0,0,14,6,8,1,1,0,0,4
"100 block john st, Syracuse, NY",179,17,15,11,153,17,13,0,1,2,0,0,1,123,35,5,9,0,4,3,388,107,29,11,12,8,3,9,26,4,22,153,35,118,5,12
"100 block kappesser st, Syracuse, NY",16,3,6,0,10,3,0,0,0,0,0,0,3,11,3,0,2,0,0,0,47,6,3,3,2,0,0,2,6,2,4,10,3,7,1,2
"100 block keen pl, Syracuse, NY",30,3,22,5,3,3,2,0,0,0,0,0,1,16,11,1,1,0,1,0,70,10,8,9,1,0,1,1,27,6,21,3,1,2,0,3
"100 block kellogg st, Syracuse, NY",8,13,0,1,7,13,0,0,0,0,0,0,13,5,3,0,0,0,0,0,19,2,3,2,0,1,0,0,1,0,1,7,5,2,1,12
"100 block kenmore av, Syracuse, NY",39,4,15,5,19,4,4,0,0,0,0,0,0,11,23,2,0,0,0,3,100,9,12,9,5,4,0,0,20,6,14,19,11,8,0,4
"100 block kennedy st e, Syracuse, NY",45,5,20,4,21,5,2,0,2,0,0,0,1,16,27,0,0,0,1,1,111,12,17,7,3,5,0,1,24,8,16,21,11,10,0,5
"100 block kensington rd, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block kenwood av, Syracuse, NY",68,1,44,21,3,1,0,0,0,0,1,0,0,64,3,1,0,0,0,0,139,30,21,6,7,3,1,0,65,14,51,3,2,1,0,1
"100 block kimber av, Syracuse, NY",147,5,69,35,43,5,0,0,1,0,0,0,4,102,42,0,0,0,1,2,305,61,41,29,8,5,3,0,104,24,80,43,14,29,0,5
"100 block kuhl av, Syracuse, NY",60,8,34,7,19,8,0,0,1,0,0,0,7,49,5,2,0,0,3,1,159,16,19,9,8,4,3,1,41,12,29,19,8,11,0,8
"100 block lafayette av e, Syracuse, NY",11,2,7,0,4,2,0,0,1,0,0,0,1,7,3,1,0,0,0,0,27,4,2,2,2,1,0,0,7,2,5,4,1,3,0,2
"100 block lafayette av w, Syracuse, NY",227,11,45,16,166,11,3,0,1,0,0,0,7,91,121,7,0,0,4,4,402,140,42,23,8,9,3,2,61,17,44,166,20,146,0,11
"100 block lafayette rd, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block lafayette st w, Syracuse, NY",143,14,53,13,77,14,8,0,2,0,0,0,4,50,88,2,0,0,1,2,363,28,61,25,13,11,4,1,66,23,43,77,55,22,1,13
"100 block lakeview av, Syracuse, NY",0,4,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"100 block latimer ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block leavenworth av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block lewis st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block light ct, Syracuse, NY",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"100 block lincoln av, Syracuse, NY",6,3,1,3,2,3,0,0,0,0,0,0,3,2,4,0,0,0,0,0,11,3,1,2,0,0,0,0,4,0,4,2,1,1,0,3
"100 block linwill terrace, Syracuse, NY",1623,116,384,175,1064,116,65,4,10,4,5,0,28,1196,325,16,22,0,23,41,3203,734,501,212,97,48,23,8,559,109,450,1064,283,781,4,112
"100 block lodi st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block loehr av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block loma av, Syracuse, NY",54,6,21,14,19,6,0,1,1,0,0,0,4,46,6,0,0,0,0,2,109,19,22,7,5,1,0,0,35,6,29,19,4,15,1,5
"100 block lorraine av n, Syracuse, NY",51,6,40,11,0,6,0,0,2,3,1,0,0,47,4,0,0,0,0,0,126,13,20,7,6,3,1,1,51,15,36,0,0,0,0,6
"100 block lowell av n, Syracuse, NY",24,5,4,1,19,5,0,0,0,0,0,0,5,24,0,0,0,0,0,0,32,17,6,1,0,0,0,0,5,0,5,19,0,19,1,4
"100 block lowell av s, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block luddington st, Syracuse, NY",23,1,9,11,3,1,0,0,1,0,0,0,0,20,1,0,0,0,2,0,42,8,11,4,0,0,0,0,20,1,19,3,0,3,0,1
"100 block madison st, Syracuse, NY",29,1,20,7,2,1,0,0,0,0,1,0,0,25,1,0,3,0,0,0,35,23,6,0,0,0,0,0,27,0,27,2,0,2,0,1
"100 block mains av, Syracuse, NY",28,2,19,4,5,2,0,0,1,0,0,0,1,18,9,1,0,0,0,0,78,8,9,4,2,1,2,2,23,7,16,5,2,3,0,2
"100 block manilla st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block manor dr, Syracuse, NY",30,1,17,12,1,1,0,0,1,0,0,0,0,21,7,0,1,0,0,1,56,12,13,2,3,0,0,0,29,4,25,1,0,1,0,1
"100 block maple ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block maplewood av, Syracuse, NY",104,5,63,27,14,5,0,0,1,0,0,0,4,79,17,6,0,0,0,2,235,36,36,14,9,7,1,1,90,24,66,14,4,10,0,5
"100 block marshall st, Syracuse, NY",67,0,0,0,67,0,0,0,0,0,0,0,0,23,3,0,39,0,1,1,68,66,1,0,0,0,0,0,0,0,0,67,0,67,0,0
"100 block martin luther king  w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block mather st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block matson av w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block maxwell av, Syracuse, NY",25,0,9,1,15,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,60,8,6,6,4,0,1,0,10,2,8,15,9,6,0,0
"100 block mayar st, Syracuse, NY",31,1,16,13,2,1,0,0,0,0,0,0,1,28,0,1,2,0,0,0,60,13,12,3,1,2,0,0,29,2,27,2,0,2,0,1
"100 block mcclure av, Syracuse, NY",12,1,5,2,5,1,1,0,0,0,0,0,0,0,11,0,0,0,0,1,40,2,1,5,1,2,0,1,7,4,3,5,5,0,0,1
"100 block mclennan av, Syracuse, NY",11,1,1,2,8,1,0,0,0,0,0,0,1,0,7,0,0,0,1,3,29,4,3,0,2,1,1,0,3,1,2,8,5,3,0,1
"100 block meadowbrook dr, Syracuse, NY",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"100 block melbourne av, Syracuse, NY",11,2,0,0,11,2,2,0,0,0,0,0,0,7,4,0,0,0,0,0,17,6,4,1,0,0,0,0,0,0,0,11,2,9,0,2
"100 block merrill st, Syracuse, NY",159,15,74,30,55,15,6,0,1,0,1,0,7,142,10,1,1,0,3,2,341,58,56,25,11,4,4,1,104,17,87,55,16,39,0,15
"100 block merriman av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block michaels av, Syracuse, NY",94,12,12,10,72,12,7,1,0,0,0,0,4,70,19,1,2,0,0,2,206,41,24,10,13,3,1,2,22,5,17,72,23,49,1,11
"100 block midler av n, Syracuse, NY",42,0,19,5,18,0,0,0,0,0,0,0,0,36,1,3,1,0,1,0,106,15,10,4,8,3,2,0,24,11,13,18,5,13,0,0
"100 block milburn dr, Syracuse, NY",44,1,27,14,3,1,0,0,1,0,0,0,0,33,9,0,0,0,0,2,107,16,15,1,7,2,1,2,41,9,32,3,0,3,0,1
"100 block mildred av, Syracuse, NY",3,1,0,0,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1
"100 block miles av, Syracuse, NY",65,1,27,6,32,1,0,0,0,0,0,0,1,54,8,0,2,0,0,1,162,23,17,8,10,4,1,2,33,7,26,32,7,25,0,1
"100 block milford ct, Syracuse, NY",89,1,50,24,15,1,0,0,0,0,0,0,1,85,3,0,0,0,0,1,182,36,30,11,8,3,1,0,74,12,62,15,2,13,0,1
"100 block monroe st, Syracuse, NY",52,0,0,1,51,0,0,0,0,0,0,0,0,5,44,0,0,0,2,1,109,20,15,11,5,0,1,0,1,0,1,51,29,22,0,0
"100 block montgomery st, Syracuse, NY",2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,1,0,0,0,0,0,0,0,2,1,1,0,2
"100 block monticello dr, Syracuse, NY",37,2,25,9,3,2,0,1,0,0,1,0,0,30,7,0,0,0,0,0,101,11,9,6,5,3,2,1,34,8,26,3,2,1,1,1
"100 block mosley dr, Syracuse, NY",75,9,35,12,28,9,2,0,0,0,0,4,3,60,5,1,2,0,3,4,158,30,20,16,5,4,0,0,47,12,35,28,12,16,0,9
"100 block murray av, Syracuse, NY",74,7,14,2,58,7,2,0,1,0,1,0,3,35,25,3,3,0,3,5,205,10,27,19,11,4,2,1,16,5,11,58,34,24,1,6
"100 block nelson st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block new st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block newbury hollow ln, Syracuse, NY",17,0,12,4,1,0,0,0,0,0,0,0,0,13,3,0,0,0,0,1,37,6,6,3,1,0,1,0,16,4,12,1,0,1,0,0
"100 block newell st w, Syracuse, NY",290,41,49,16,225,41,29,0,3,0,1,0,8,123,117,1,34,0,7,8,757,82,80,46,50,20,9,3,65,17,48,225,105,120,0,41
"100 block nichols av, Syracuse, NY",112,13,29,12,71,13,7,0,0,0,1,0,5,88,19,1,2,0,1,1,236,46,37,12,8,6,3,0,41,11,30,71,17,54,0,13
"100 block niven st, Syracuse, NY",44,3,32,11,1,3,0,0,1,1,1,0,0,39,3,1,0,0,1,0,109,9,19,6,7,2,1,0,43,13,30,1,0,1,0,3
"100 block normanor dr, Syracuse, NY",26,0,16,8,2,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,53,9,11,3,2,1,0,0,24,3,21,2,1,1,0,0
"100 block oak st, Syracuse, NY",21,8,1,3,17,8,2,0,5,0,0,0,1,18,2,0,0,0,1,0,41,9,6,5,0,1,0,0,4,0,4,17,4,13,0,8
"100 block onondaga st w, Syracuse, NY",3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0
"100 block onondaga st, Syracuse, NY",15,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,9,5,1,0,0,0,0,0,0,0,15,0,15,0,0
"100 block otisco st, Syracuse, NY",236,88,11,1,224,88,82,0,1,4,0,0,1,95,119,4,0,0,6,12,292,192,36,5,2,1,0,0,12,1,11,224,22,202,2,86
"100 block park av, Syracuse, NY",9,2,2,1,6,2,0,0,0,0,0,0,2,4,1,0,2,0,0,2,21,3,1,4,1,0,0,0,3,2,1,6,4,2,0,2
"100 block parkside av, Syracuse, NY",70,18,16,10,44,18,6,0,0,2,0,0,10,17,49,1,0,0,1,2,208,14,18,14,13,6,2,3,26,5,21,44,29,15,0,18
"100 block parkway dr, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block peters st, Syracuse, NY",63,14,10,8,45,14,4,0,2,0,0,0,8,28,18,1,12,0,2,2,208,9,17,12,12,6,1,6,18,7,11,45,30,15,0,14
"100 block phillips rd, Syracuse, NY",12,0,6,5,1,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,29,5,3,0,2,2,0,0,11,4,7,1,0,1,0,0
"100 block plum st, Syracuse, NY",33,13,5,3,25,13,2,0,0,1,0,0,10,16,12,2,0,0,0,3,74,16,5,4,6,1,0,1,8,4,4,25,8,17,0,13
"100 block polk st, Syracuse, NY",24,3,19,5,0,3,0,0,1,0,0,0,2,11,11,0,1,0,0,1,49,10,7,5,1,0,1,0,24,7,17,0,0,0,0,3
"100 block pond st, Syracuse, NY",55,13,6,1,48,13,2,1,0,0,0,0,10,28,15,1,4,0,2,5,174,16,12,6,10,5,2,4,7,3,4,48,21,27,0,13
"100 block putnam st, Syracuse, NY",70,69,24,5,41,69,7,0,44,0,0,0,18,22,34,0,0,0,11,3,230,11,18,11,11,10,8,1,29,13,16,41,23,18,0,69
"100 block radisson ct, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block redfield pl, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block reed av, Syracuse, NY",41,5,16,1,24,5,3,0,0,1,1,0,0,26,12,0,1,0,2,0,114,8,15,6,5,4,3,0,17,5,12,24,9,15,0,5
"100 block remington av, Syracuse, NY",45,3,36,7,2,3,0,0,3,0,0,0,0,37,7,0,1,0,0,0,96,12,22,6,4,0,1,0,43,5,38,2,2,0,0,3
"100 block riverdale dr, Syracuse, NY",82,3,10,4,68,3,3,0,0,0,0,0,0,29,45,1,1,0,2,4,175,26,31,16,6,3,0,0,14,2,12,68,33,35,0,3
"100 block roberts av, Syracuse, NY",20,5,15,3,2,5,0,0,0,3,0,0,2,14,6,0,0,0,0,0,76,2,3,5,4,3,0,3,18,9,9,2,2,0,0,5
"100 block robinson st, Syracuse, NY",112,3,23,9,80,3,2,0,1,0,0,0,0,55,38,4,3,0,2,10,329,34,30,11,13,8,7,9,32,8,24,80,40,40,0,3
"100 block roney ln, Syracuse, NY",35,31,2,4,29,31,0,0,0,0,0,0,31,5,27,0,0,0,2,1,74,18,7,3,3,3,1,0,6,1,5,29,10,19,0,31
"100 block roosevelt av, Syracuse, NY",10,1,9,1,0,1,0,0,0,0,0,0,1,9,1,0,0,0,0,0,22,4,3,1,1,1,0,0,10,3,7,0,0,0,0,1
"100 block rosemont dr, Syracuse, NY",39,4,23,7,9,4,1,0,0,1,0,0,2,23,9,6,1,0,0,0,105,12,7,7,8,4,1,0,30,9,21,9,5,4,0,4
"100 block ross park dr, Syracuse, NY",77,8,23,20,34,8,4,0,2,0,0,0,2,62,10,2,2,0,1,0,200,26,22,9,10,4,3,3,43,7,36,34,20,14,3,5
"100 block ross pk, Syracuse, NY",79,5,37,18,24,5,1,0,2,0,0,0,2,66,9,0,3,0,0,1,187,27,23,13,10,3,2,1,55,15,40,24,8,16,0,5
"100 block rugby rd, Syracuse, NY",115,6,73,30,12,6,1,0,2,1,0,0,2,108,3,1,0,0,0,3,269,30,43,23,13,4,2,0,103,23,80,12,2,10,0,6
"100 block russell pl, Syracuse, NY",18,0,15,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,54,2,6,5,2,2,0,1,18,8,10,0,0,0,0,0
"100 block sabine st, Syracuse, NY",149,37,19,7,123,37,17,0,5,0,0,0,15,69,57,1,0,0,16,6,370,44,47,27,20,5,1,5,26,6,20,123,40,83,3,34
"100 block schneider st, Syracuse, NY",101,11,21,14,66,11,9,0,1,0,0,0,1,69,22,1,3,1,3,2,272,28,29,18,9,10,5,2,35,8,27,66,30,36,0,11
"100 block schoeneck av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block schuler st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block searlwyn av, Syracuse, NY",12,0,8,4,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,23,4,5,3,0,0,0,0,12,3,9,0,0,0,0,0
"100 block second north st, Syracuse, NY",57,7,16,8,33,7,4,0,0,0,0,0,3,28,14,3,8,0,1,3,158,16,11,15,8,4,1,2,24,10,14,33,17,16,0,7
"100 block sedgewick rd, Syracuse, NY",65,7,17,7,41,7,3,1,0,0,0,0,3,48,7,1,6,0,2,1,144,22,23,10,5,4,1,0,24,5,19,41,11,30,0,7
"100 block sedgwick rd, Syracuse, NY",80,11,24,7,49,11,3,1,1,0,0,0,6,58,11,1,6,0,3,1,172,28,29,12,6,4,1,0,31,9,22,49,12,37,0,11
